application_id,producer_id,application_date,requested_amount,term_months,interest_rate,collateral_value,purpose,state,rainfall,temperature,drought_index,crop_price,selic,inflation,usd_brl,commodity_index,true_default_probability
APP0000034,PRD000011,2022-08-27,16435.89,36,11.55,13545.7,custeio,SP,178.0,20.4,0.129,71.21,10.97,4.34,5.033,99.26,0.5117
APP0000035,PRD000012,2025-09-27,102299.31,36,16.97,149614.54,comercializacao,PR,66.3,32.1,0.142,167.18,16.79,7.7,7.0,79.08,0.5515
APP0000036,PRD000012,2025-02-17,129554.09,12,8.22,204019.83,custeio,PR,119.0,28.3,0.522,153.27,14.99,6.26,6.101,85.95,0.6228
APP0000037,PRD000013,2026-06-13,18256.88,6,12.8,14750.09,comercializacao,PI,145.6,23.9,0.115,187.45,16.47,8.03,6.961,81.3,0.5421
APP0000038,PRD000013,2026-04-08,43875.37,24,12.46,52961.89,comercializacao,PI,120.1,30.5,0.089,173.73,16.55,7.95,7.038,80.49,0.4757
APP0000039,PRD000014,2025-11-20,110888.54,18,14.17,114086.25,industrializacao,GO,128.2,18.4,0.163,80.38,16.6,7.75,6.959,81.73,0.699
APP0000040,PRD000014,2026-03-18,30709.71,36,16.33,39573.23,custeio,GO,144.1,30.5,0.169,88.01,16.55,7.88,7.004,81.6,0.7259
APP0000041,PRD000015,2023-03-07,119223.21,6,6.76,92881.85,comercializacao,MT,63.7,27.8,0.05,124.39,11.34,4.05,4.953,99.59,0.1661
APP0000042,PRD000015,2025-09-21,14229.56,24,9.69,23356.8,custeio,MT,125.1,22.3,0.189,117.18,16.79,7.7,7.0,79.08,0.2729
APP0000043,PRD000016,2022-01-11,36298.34,6,8.17,23887.93,investimento,MS,71.3,27.3,0.29,203.82,10.46,4.45,5.045,98.92,0.4939
APP0000044,PRD000016,2022-08-30,105925.53,12,7.12,140563.68,custeio,MS,181.0,21.6,0.118,198.86,10.97,4.34,5.033,99.26,0.4222
APP0000045,PRD000017,2022-08-19,30334.68,12,6.98,40679.1,investimento,SP,178.0,20.4,0.129,71.21,10.97,4.34,5.033,99.26,0.481
APP0000046,PRD000018,2023-05-25,12094.48,12,6.93,15556.65,comercializacao,PI,66.5,24.2,0.284,176.44,11.32,3.99,4.959,101.0,0.4296
APP0000047,PRD000018,2023-03-03,42026.66,24,13.98,58760.52,custeio,PI,107.6,18.3,0.264,180.73,11.34,4.05,4.953,99.59,0.418
APP0000048,PRD000018,2023-08-01,22281.46,6,15.58,31631.88,investimento,PI,167.0,25.5,0.092,181.96,11.42,4.09,4.906,103.9,0.3448
APP0000049,PRD000018,2023-11-22,116534.18,18,17.79,90914.57,investimento,PI,81.5,27.8,0.209,177.89,11.34,4.18,4.877,101.75,0.4585
APP0000050,PRD000019,2025-12-05,26046.59,6,15.82,38631.78,investimento,GO,79.2,29.4,0.038,84.81,16.61,7.74,6.957,81.85,0.6242
APP0000051,PRD000019,2025-05-06,13876.77,36,12.21,8610.62,industrializacao,GO,78.0,20.3,0.647,81.36,16.25,7.09,6.729,81.39,0.801
APP0000052,PRD000020,2024-05-18,136802.12,36,10.72,132470.17,investimento,TO,101.6,27.0,0.338,104.99,11.35,4.3,4.766,101.07,0.5302
APP0000053,PRD000020,2026-09-30,100937.74,18,13.56,118619.27,comercializacao,TO,73.4,20.6,0.223,135.53,16.34,7.89,6.904,83.16,0.6376
APP0000054,PRD000021,2024-06-26,18327.77,6,11.24,13855.52,custeio,MS,132.6,33.2,0.672,145.82,11.35,4.33,4.729,101.06,0.5469
APP0000055,PRD000022,2023-10-17,151078.45,6,9.05,219426.05,investimento,RS,162.3,30.1,0.061,97.82,11.35,4.2,4.922,102.76,0.3623
APP0000056,PRD000022,2025-06-15,5021.66,24,12.99,7643.44,industrializacao,RS,141.9,31.4,0.328,80.37,16.84,7.51,6.986,80.33,0.6384
APP0000057,PRD000022,2024-01-30,28480.04,18,10.78,31618.66,investimento,RS,103.3,19.2,0.498,73.47,11.38,4.15,4.823,100.55,0.5104
APP0000058,PRD000023,2022-10-08,67316.41,24,6.53,43954.14,custeio,TO,158.6,32.2,0.212,125.45,11.13,4.34,5.037,97.77,0.3317
APP0000059,PRD000024,2022-02-24,179045.08,24,12.87,128993.5,custeio,PR,202.7,30.0,0.171,156.98,10.54,4.52,5.093,99.9,0.5477
APP0000060,PRD000024,2024-11-23,29564.87,36,6.85,43275.61,custeio,PR,135.2,26.7,0.136,181.55,13.13,5.44,5.596,90.86,0.5069
APP0000061,PRD000025,2022-06-22,33333.79,24,14.7,33286.03,comercializacao,PR,174.2,25.9,0.171,171.75,10.82,4.51,5.065,99.4,0.2069
APP0000062,PRD000025,2024-01-10,35822.85,24,8.51,51759.64,industrializacao,PR,114.3,23.1,0.312,137.67,11.38,4.15,4.823,100.55,0.2087
APP0000063,PRD000025,2026-10-27,38556.09,24,14.59,50716.39,investimento,PR,167.5,30.9,0.274,180.1,16.29,7.86,6.879,84.46,0.3105
APP0000064,PRD000025,2022-09-04,41199.8,12,13.48,32461.38,industrializacao,PR,84.9,27.6,0.187,159.83,11.12,4.39,5.008,98.34,0.1915
APP0000065,PRD000026,2026-09-13,31523.41,12,7.41,41049.05,investimento,MS,112.4,33.7,0.181,173.86,16.34,7.89,6.904,83.16,0.6044
APP0000066,PRD000026,2022-02-08,28802.39,18,17.6,38946.74,custeio,MS,166.4,27.8,0.017,172.87,10.54,4.52,5.093,99.9,0.342
APP0000067,PRD000026,2025-04-20,34997.6,18,6.93,52455.35,investimento,MS,118.1,28.3,0.542,167.89,15.89,6.77,6.48,81.98,0.6844
APP0000068,PRD000027,2026-08-08,122414.76,18,13.1,119728.54,custeio,PR,118.7,26.2,0.298,165.42,16.48,7.96,6.926,83.04,0.6297
APP0000069,PRD000028,2026-05-26,19842.17,36,12.27,31140.27,industrializacao,MS,122.0,19.7,0.28,175.36,16.46,8.05,6.992,80.92,0.562
APP0000070,PRD000028,2024-12-19,46794.49,36,11.55,34830.71,comercializacao,MS,64.6,28.3,0.126,181.44,13.83,5.67,5.708,89.04,0.5003
APP0000071,PRD000028,2024-02-22,23503.18,24,12.02,21609.03,investimento,MS,40.8,23.9,0.554,171.47,11.51,4.24,4.804,101.19,0.5421
APP0000072,PRD000029,2026-02-18,62001.91,36,13.34,80567.56,industrializacao,PR,116.8,33.7,0.148,172.05,16.55,7.87,6.969,81.38,0.7066
APP0000073,PRD000029,2026-07-11,71379.04,24,16.25,124692.42,investimento,PR,91.9,25.5,0.117,174.51,16.33,7.98,6.914,82.48,0.6774
APP0000074,PRD000030,2026-08-06,14496.0,12,14.1,20165.63,comercializacao,PR,118.7,26.2,0.298,165.42,16.48,7.96,6.926,83.04,0.6937
APP0000075,PRD000030,2025-01-22,11484.23,36,13.07,15096.81,industrializacao,PR,83.9,33.1,0.504,134.71,14.32,6.06,5.846,87.46,0.7078
APP0000076,PRD000030,2022-10-28,33591.34,36,12.29,43842.64,custeio,PR,173.6,32.4,0.093,182.74,11.13,4.34,5.037,97.77,0.4733
APP0000077,PRD000030,2024-03-28,79012.96,12,8.35,58808.67,comercializacao,PR,88.5,27.1,0.463,143.46,11.47,4.33,4.765,101.33,0.6682
APP0000078,PRD000031,2025-03-15,5000,36,8.48,7871.22,custeio,PR,118.3,25.8,0.49,135.18,15.36,6.47,6.304,83.95,0.6529
APP0000079,PRD000031,2024-08-27,138067.97,12,16.18,145841.18,industrializacao,PR,134.2,23.4,0.2,155.63,11.97,4.69,5.047,96.01,0.485
APP0000080,PRD000032,2022-11-20,37417.55,36,9.61,29874.89,investimento,TO,78.3,27.5,0.224,136.96,11.17,4.25,4.99,99.15,0.3709
APP0000081,PRD000033,2026-01-27,82554.97,24,14.14,54488.79,comercializacao,SP,133.3,23.2,0.111,71.25,16.52,7.83,6.952,81.49,0.4093
APP0000082,PRD000033,2023-06-14,41159.81,24,7.01,69128.08,investimento,SP,172.5,18.6,0.018,70.92,11.43,4.08,4.974,101.38,0.1583
APP0000083,PRD000033,2024-09-25,65715.89,18,14.81,67349.0,industrializacao,SP,152.7,24.3,0.001,62.4,12.34,4.97,5.245,93.58,0.2177
APP0000084,PRD000033,2025-04-04,53515.57,18,13.86,88927.94,comercializacao,SP,69.0,34.0,0.532,60.39,15.89,6.77,6.48,81.98,0.397
APP0000085,PRD000034,2024-02-25,45691.8,36,11.44,41980.42,investimento,MG,55.4,21.5,0.483,63.38,11.51,4.24,4.804,101.19,0.6328
APP0000086,PRD000034,2022-11-10,39854.62,12,8.34,68553.98,investimento,MG,66.4,28.6,0.018,72.17,11.17,4.25,4.99,99.15,0.3807
APP0000087,PRD000034,2026-08-18,46479.28,36,7.94,55916.41,investimento,MG,189.9,23.5,0.218,76.25,16.48,7.96,6.926,83.04,0.6928
APP0000088,PRD000034,2024-12-26,51515.6,6,16.62,39406.92,industrializacao,MG,157.0,18.7,0.295,72.55,13.83,5.67,5.708,89.04,0.6569
APP0000089,PRD000035,2025-05-17,43511.28,36,16.08,30763.27,custeio,SP,138.2,19.1,0.684,55.55,16.25,7.09,6.729,81.39,0.5611
APP0000090,PRD000035,2026-01-24,13100.45,36,13.86,10426.57,investimento,SP,133.3,23.2,0.111,71.25,16.52,7.83,6.952,81.49,0.4285
APP0000091,PRD000035,2026-01-03,30771.57,24,14.78,51491.02,investimento,SP,133.3,23.2,0.111,71.25,16.52,7.83,6.952,81.49,0.3455
APP0000092,PRD000035,2023-10-20,39549.64,18,15.47,56967.23,comercializacao,SP,115.2,18.8,0.252,69.98,11.35,4.2,4.922,102.76,0.2125
APP0000093,PRD000036,2026-03-17,26435.14,6,13.59,29467.28,investimento,MG,177.0,28.2,0.043,82.36,16.55,7.88,7.004,81.6,0.5953
APP0000094,PRD000036,2025-11-28,42373.84,6,11.91,63069.34,custeio,MG,141.5,28.1,0.111,77.44,16.6,7.75,6.959,81.73,0.5624
APP0000095,PRD000036,2026-05-01,39037.16,36,12.69,58696.66,custeio,MG,91.0,30.8,0.265,77.11,16.46,8.05,6.992,80.92,0.5809
APP0000096,PRD000037,2024-08-03,62027.73,18,7.42,57378.39,custeio,SP,95.7,22.2,0.267,70.62,11.97,4.69,5.047,96.01,0.5327
APP0000097,PRD000037,2025-06-28,17771.26,24,17.39,22304.67,investimento,SP,91.0,31.4,0.617,53.12,16.84,7.51,6.986,80.33,0.7773
APP0000098,PRD000037,2024-03-21,66080.7,18,17.2,69873.4,custeio,SP,76.5,23.5,0.678,49.8,11.47,4.33,4.765,101.33,0.663
APP0000099,PRD000037,2023-06-19,10400.98,12,7.17,14820.81,comercializacao,SP,172.5,18.6,0.018,70.92,11.43,4.08,4.974,101.38,0.4474
APP0000100,PRD000038,2025-11-28,34178.63,6,9.11,44952.0,industrializacao,MT,160.1,19.8,0.227,113.63,16.6,7.75,6.959,81.73,0.6006
APP0000101,PRD000038,2023-03-01,31450.53,12,7.65,40732.29,custeio,MT,63.7,27.8,0.05,124.39,11.34,4.05,4.953,99.59,0.3331
APP0000102,PRD000039,2022-02-20,52599.33,18,15.78,50414.15,comercializacao,GO,130.1,22.5,0.142,94.14,10.54,4.52,5.093,99.9,0.5067
APP0000103,PRD000040,2022-04-07,23044.42,24,14.35,21402.87,industrializacao,MT,144.7,22.9,0.225,120.16,10.71,4.56,5.06,99.87,0.197
APP0000104,PRD000040,2024-06-02,36184.76,24,9.51,22334.18,comercializacao,MT,55.1,30.9,0.384,108.78,11.35,4.33,4.729,101.06,0.271
APP0000105,PRD000041,2024-05-17,97028.52,24,10.41,162130.42,comercializacao,PI,139.0,33.9,0.473,155.59,11.35,4.3,4.766,101.07,0.5246
APP0000106,PRD000041,2026-04-22,26399.73,36,15.76,16755.11,comercializacao,PI,120.1,30.5,0.089,173.73,16.55,7.95,7.038,80.49,0.6989
APP0000107,PRD000041,2026-11-29,30107.06,12,15.36,30221.73,custeio,PI,182.2,33.6,0.009,169.92,16.32,7.8,6.864,85.41,0.6367
APP0000108,PRD000042,2023-04-14,101904.8,12,7.86,79749.37,industrializacao,SP,132.4,33.2,0.092,68.0,11.38,4.0,4.932,99.91,0.2975
APP0000109,PRD000042,2024-09-06,60234.32,24,8.04,58981.83,custeio,SP,152.7,24.3,0.001,62.4,12.34,4.97,5.245,93.58,0.3328
APP0000110,PRD000042,2023-07-30,49955.69,18,16.97,81035.33,comercializacao,SP,80.2,29.6,0.085,63.77,11.39,4.11,4.951,102.57,0.2551
APP0000111,PRD000043,2022-05-03,38434.85,36,12.44,41328.88,investimento,BA,103.2,29.2,0.144,118.73,10.73,4.53,5.077,99.68,0.242
APP0000112,PRD000043,2023-02-06,67616.26,36,16.65,69647.31,custeio,BA,146.8,23.8,0.13,115.79,11.2,3.98,4.998,100.89,0.2113
APP0000113,PRD000043,2026-07-01,25341.24,24,15.61,41136.19,industrializacao,BA,193.8,27.7,0.276,121.54,16.33,7.98,6.914,82.48,0.3736
APP0000114,PRD000043,2022-06-05,21068.32,12,7.11,26009.14,industrializacao,BA,168.5,18.5,0.149,120.97,10.82,4.51,5.065,99.4,0.2214
APP0000115,PRD000044,2023-04-12,26473.73,24,16.46,32794.28,comercializacao,MS,111.9,30.7,0.284,182.73,11.38,4.0,4.932,99.91,0.4534
APP0000116,PRD000044,2026-08-05,48756.93,18,17.4,39483.07,investimento,MS,62.0,31.3,0.258,175.39,16.48,7.96,6.926,83.04,0.6815
APP0000117,PRD000044,2023-06-03,16901.8,18,7.04,23848.18,comercializacao,MS,121.0,31.9,0.045,181.33,11.43,4.08,4.974,101.38,0.4181
APP0000118,PRD000045,2023-08-08,49801.71,12,16.5,80410.44,investimento,MG,200.0,23.5,0.006,78.37,11.42,4.09,4.906,103.9,0.3515
APP0000119,PRD000045,2025-12-31,45159.99,24,14.34,60737.84,custeio,MG,115.5,23.2,0.11,82.97,16.61,7.74,6.957,81.85,0.5809
APP0000120,PRD000045,2024-07-12,24998.99,12,9.29,23803.13,investimento,MG,183.7,22.3,0.235,78.78,11.7,4.51,4.809,97.34,0.4513
APP0000121,PRD000046,2022-12-14,41021.31,12,15.93,68804.51,custeio,PR,184.7,22.1,0.003,174.42,11.08,4.15,5.026,98.95,0.3851
APP0000122,PRD000046,2026-06-29,121816.01,24,17.57,193936.19,investimento,PR,65.0,32.0,0.278,151.52,16.47,8.03,6.961,81.3,0.6209
APP0000123,PRD000046,2026-06-12,96146.48,36,12.28,74397.34,investimento,PR,65.0,32.0,0.278,151.52,16.47,8.03,6.961,81.3,0.6944
APP0000124,PRD000046,2023-09-18,71652.71,24,11.57,86426.62,custeio,PR,88.1,25.4,0.27,153.05,11.49,4.14,4.898,102.79,0.4724
APP0000125,PRD000047,2023-12-09,13075.26,18,9.51,14552.72,investimento,PR,110.8,19.8,0.02,168.56,11.37,4.23,4.853,101.44,0.5091
APP0000126,PRD000047,2026-08-06,39160.3,6,11.96,52609.88,custeio,PR,118.7,26.2,0.298,165.42,16.48,7.96,6.926,83.04,0.6892
APP0000127,PRD000047,2025-08-26,210721.75,18,9.27,277079.65,industrializacao,PR,195.7,22.0,0.034,182.92,16.68,7.68,6.994,80.38,0.632
APP0000128,PRD000047,2023-06-08,95344.36,24,17.86,117581.77,custeio,PR,73.4,29.1,0.02,165.8,11.43,4.08,4.974,101.38,0.4738
APP0000129,PRD000048,2023-10-07,33299.32,24,7.7,53535.14,comercializacao,SP,115.2,18.8,0.252,69.98,11.35,4.2,4.922,102.76,0.2723
APP0000130,PRD000048,2024-02-11,5249.38,36,12.72,9219.0,investimento,SP,53.6,26.2,0.456,47.37,11.51,4.24,4.804,101.19,0.3466
APP0000131,PRD000048,2023-07-03,19265.5,36,13.96,25254.59,investimento,SP,80.2,29.6,0.085,63.77,11.39,4.11,4.951,102.57,0.2717
APP0000132,PRD000049,2022-11-06,56266.84,24,17.08,44368.63,investimento,TO,78.3,27.5,0.224,136.96,11.17,4.25,4.99,99.15,0.4388
APP0000133,PRD000050,2024-11-24,69974.74,12,8.43,52155.81,custeio,TO,188.9,30.7,0.161,135.32,13.13,5.44,5.596,90.86,0.5553
APP0000134,PRD000050,2023-01-15,27541.36,6,7.02,17509.71,industrializacao,TO,67.5,19.2,0.118,144.18,11.2,4.06,4.981,99.95,0.5124
APP0000135,PRD000051,2022-09-07,23214.87,6,9.82,39482.06,comercializacao,GO,193.1,19.0,0.297,85.26,11.12,4.39,5.008,98.34,0.166
APP0000136,PRD000051,2023-10-16,64421.63,6,13.28,97028.03,comercializacao,GO,211.1,20.0,0.284,79.17,11.35,4.2,4.922,102.76,0.1659
APP0000137,PRD000051,2024-05-12,191591.74,36,13.88,159784.62,comercializacao,GO,127.1,20.8,0.311,73.7,11.35,4.3,4.766,101.07,0.2763
APP0000138,PRD000051,2026-09-01,47482.47,6,8.78,72539.62,industrializacao,GO,155.0,19.1,0.227,81.18,16.34,7.89,6.904,83.16,0.311
APP0000139,PRD000052,2023-11-06,33102.61,6,16.88,21691.9,industrializacao,MG,120.7,32.0,0.288,81.17,11.34,4.18,4.877,101.75,0.1981
APP0000140,PRD000052,2024-05-14,25776.4,24,17.04,24717.22,custeio,MG,45.9,31.9,0.66,68.37,11.35,4.3,4.766,101.07,0.2599
APP0000141,PRD000052,2023-04-06,32612.55,24,13.56,55665.51,industrializacao,MG,98.7,27.8,0.268,84.79,11.38,4.0,4.932,99.91,0.1444
APP0000142,PRD000053,2024-12-06,46621.96,36,15.24,52024.32,comercializacao,MT,139.8,27.1,0.192,109.5,13.83,5.67,5.708,89.04,0.2289
APP0000143,PRD000054,2024-02-13,40490.41,36,11.16,43166.71,custeio,BA,51.4,33.1,0.573,81.44,11.51,4.24,4.804,101.19,0.2507
APP0000144,PRD000054,2024-12-17,19069.22,36,12.48,25978.66,industrializacao,BA,72.3,25.7,0.075,110.92,13.83,5.67,5.708,89.04,0.1802
APP0000145,PRD000055,2024-01-30,75177.05,18,11.72,52100.8,industrializacao,BA,58.9,18.3,0.402,87.37,11.38,4.15,4.823,100.55,0.4704
APP0000146,PRD000056,2022-09-17,26516.71,18,11.73,46565.22,investimento,SP,171.6,20.4,0.015,65.59,11.12,4.39,5.008,98.34,0.4707
APP0000147,PRD000056,2024-02-18,39088.15,36,10.74,29982.18,industrializacao,SP,53.6,26.2,0.456,47.37,11.51,4.24,4.804,101.19,0.6888
APP0000148,PRD000057,2022-08-30,32871.39,6,14.22,25165.14,investimento,MS,181.0,21.6,0.118,198.86,10.97,4.34,5.033,99.26,0.5433
APP0000149,PRD000057,2025-10-10,114581.46,12,9.72,152423.36,investimento,MS,82.0,23.1,0.116,191.34,16.74,7.72,7.0,80.46,0.6782
APP0000150,PRD000057,2022-11-30,20919.01,24,7.11,30302.43,comercializacao,MS,204.4,19.0,0.227,183.73,11.17,4.25,4.99,99.15,0.4768
APP0000151,PRD000058,2023-06-30,45725.27,18,12.09,73252.34,investimento,BA,73.1,24.7,0.034,113.51,11.43,4.08,4.974,101.38,0.2283
APP0000152,PRD000058,2022-01-06,63033.7,18,12.21,37824.82,custeio,BA,200.2,19.2,0.125,102.64,10.46,4.45,5.045,98.92,0.2743
APP0000153,PRD000058,2022-05-10,45813.42,18,11.22,79750.49,investimento,BA,103.2,29.2,0.144,118.73,10.73,4.53,5.077,99.68,0.2254
APP0000154,PRD000059,2023-07-25,89335.47,12,12.29,152178.58,comercializacao,SP,80.2,29.6,0.085,63.77,11.39,4.11,4.951,102.57,0.4966
APP0000155,PRD000059,2022-01-11,11182.71,36,8.6,15953.44,investimento,SP,83.7,21.6,0.235,71.0,10.46,4.45,5.045,98.92,0.5451
APP0000156,PRD000060,2022-10-07,136486.27,18,6.57,92686.91,custeio,TO,158.6,32.2,0.212,125.45,11.13,4.34,5.037,97.77,0.3284
APP0000157,PRD000061,2022-08-26,95838.76,6,17.78,133055.32,industrializacao,SP,178.0,20.4,0.129,71.21,10.97,4.34,5.033,99.26,0.2067
APP0000158,PRD000062,2026-03-11,5000,24,7.11,6417.07,custeio,MT,208.4,21.4,0.202,117.06,16.55,7.88,7.004,81.6,0.6245
APP0000159,PRD000063,2025-04-30,84411.12,6,16.59,108789.3,comercializacao,MT,140.9,22.3,0.564,97.96,15.89,6.77,6.48,81.98,0.6345
APP0000160,PRD000063,2026-07-19,97567.4,36,11.89,127980.88,industrializacao,MT,109.3,27.0,0.229,109.34,16.33,7.98,6.914,82.48,0.5399
APP0000161,PRD000063,2023-12-07,18384.38,24,15.31,20151.18,investimento,MT,189.9,31.3,0.218,110.17,11.37,4.23,4.853,101.44,0.3972
APP0000162,PRD000063,2024-08-29,20068.47,36,7.45,33755.89,custeio,MT,142.7,25.6,0.27,132.8,11.97,4.69,5.047,96.01,0.3606
APP0000163,PRD000064,2023-06-13,27667.67,36,14.14,29990.04,custeio,PR,73.4,29.1,0.02,165.8,11.43,4.08,4.974,101.38,0.2499
APP0000164,PRD000065,2023-08-31,67728.04,18,12.53,112264.02,investimento,MG,200.0,23.5,0.006,78.37,11.42,4.09,4.906,103.9,0.292
APP0000165,PRD000065,2024-04-10,25641.92,24,8.73,32245.85,comercializacao,MG,65.5,20.4,0.424,59.87,11.32,4.4,4.805,100.32,0.4339
APP0000166,PRD000065,2023-09-06,119484.04,36,9.99,97051.16,industrializacao,MG,92.9,20.3,0.023,83.53,11.49,4.14,4.898,102.79,0.3557
APP0000167,PRD000065,2026-06-22,39435.97,6,11.62,44688.85,custeio,MG,93.7,33.9,0.049,71.01,16.47,8.03,6.961,81.3,0.5215
APP0000168,PRD000066,2023-12-23,12414.79,6,13.33,15506.2,comercializacao,MG,70.4,29.4,0.007,79.37,11.37,4.23,4.853,101.44,0.205
APP0000169,PRD000066,2022-08-08,36932.21,36,17.84,23005.66,comercializacao,MG,217.1,28.0,0.147,72.12,10.97,4.34,5.033,99.26,0.2617
APP0000170,PRD000066,2025-12-13,58315.64,12,10.12,99364.05,custeio,MG,115.5,23.2,0.11,82.97,16.61,7.74,6.957,81.85,0.327
APP0000171,PRD000067,2022-06-19,48051.99,18,15.53,80732.98,custeio,GO,213.2,23.8,0.232,91.8,10.82,4.51,5.065,99.4,0.1921
APP0000172,PRD000068,2022-11-20,48467.09,18,7.78,41561.43,investimento,TO,78.3,27.5,0.224,136.96,11.17,4.25,4.99,99.15,0.2856
APP0000173,PRD000069,2026-06-23,71460.74,18,11.56,119247.69,industrializacao,RS,132.7,28.5,0.25,96.51,16.47,8.03,6.961,81.3,0.5441
