date,state,crop_price,rainfall,temperature,drought_index,yield_index,production_cost_index,regime
2026-03-01,RS,99.27,190.3,25.1,0.187,1.116,1.059,normal
2026-04-01,RS,84.16,79.2,32.9,0.281,1.055,1.018,normal
2026-05-01,RS,85.02,86.8,19.6,0.058,1.034,0.967,normal
2026-06-01,RS,96.51,132.7,28.5,0.25,1.133,1.034,normal
2026-07-01,RS,99.73,70.5,21.9,0.042,0.997,1.059,normal
2026-08-01,RS,90.96,66.7,18.9,0.295,1.103,1.032,normal
2026-09-01,RS,83.85,180.7,27.5,0.254,1.046,1.082,normal
2026-10-01,RS,96.01,150.1,29.2,0.157,1.043,0.957,normal
2026-11-01,RS,93.63,81.7,30.2,0.088,0.971,0.975,normal
2026-12-01,RS,91.03,138.5,25.9,0.096,0.967,1.0,normal
2022-01-01,PR,179.08,106.0,28.9,0.017,0.906,0.918,normal
2022-02-01,PR,156.98,202.7,30.0,0.171,0.944,0.91,normal
2022-03-01,PR,162.97,64.5,33.5,0.115,1.011,1.065,normal
2022-04-01,PR,179.68,169.5,24.9,0.153,1.003,1.036,normal
2022-05-01,PR,157.4,67.2,21.4,0.137,0.916,0.964,normal
2022-06-01,PR,171.75,174.2,25.9,0.171,0.864,0.976,normal
2022-07-01,PR,181.54,204.1,19.9,0.087,1.048,1.083,normal
2022-08-01,PR,158.83,112.9,20.8,0.117,1.125,0.98,normal
2022-09-01,PR,159.83,84.9,27.6,0.187,1.127,1.036,normal
2022-10-01,PR,182.74,173.6,32.4,0.093,1.046,1.083,normal
2022-11-01,PR,163.83,125.5,18.2,0.247,1.103,0.938,normal
2022-12-01,PR,174.42,184.7,22.1,0.003,0.863,1.053,normal
2023-01-01,PR,155.0,80.6,29.0,0.021,0.898,1.058,normal
2023-02-01,PR,176.02,70.6,26.6,0.05,1.137,1.043,normal
2023-03-01,PR,179.9,171.2,22.6,0.086,0.928,1.052,normal
2023-04-01,PR,154.06,123.2,32.2,0.061,1.104,0.94,normal
2023-05-01,PR,154.9,142.9,18.6,0.144,0.861,0.978,normal
2023-06-01,PR,165.8,73.4,29.1,0.02,0.961,1.048,normal
2023-07-01,PR,168.08,130.7,30.3,0.199,1.142,1.054,normal
2023-08-01,PR,156.29,176.0,18.7,0.004,1.108,0.95,normal
2023-09-01,PR,153.05,88.1,25.4,0.27,0.964,1.089,normal
2023-10-01,PR,162.44,140.9,21.6,0.188,1.066,0.905,normal
2023-11-01,PR,160.83,130.5,31.5,0.18,0.898,1.009,normal
2023-12-01,PR,168.56,110.8,19.8,0.02,0.855,1.044,normal
2024-01-01,PR,137.67,114.3,23.1,0.312,0.791,1.036,stress_agricola
2024-02-01,PR,154.42,79.3,27.1,0.561,0.645,1.16,stress_agricola
2024-03-01,PR,143.46,88.5,27.1,0.463,0.725,1.244,stress_agricola
2024-04-01,PR,131.06,65.0,33.7,0.667,0.84,1.139,stress_agricola
2024-05-01,PR,133.79,68.8,29.7,0.737,0.695,1.072,stress_agricola
2024-06-01,PR,152.52,70.2,18.7,0.448,0.829,1.262,stress_agricola
2024-07-01,PR,166.63,93.3,24.5,0.265,0.986,1.09,stress_macro
2024-08-01,PR,155.63,134.2,23.4,0.2,1.009,0.949,stress_macro
2024-09-01,PR,175.66,174.0,27.1,0.284,1.085,0.973,stress_macro
2024-10-01,PR,163.75,134.1,31.8,0.238,0.942,0.979,stress_macro
2024-11-01,PR,181.55,135.2,26.7,0.136,1.137,1.074,stress_macro
2024-12-01,PR,181.05,125.9,21.2,0.101,1.048,1.087,stress_macro
2025-01-01,PR,134.71,83.9,33.1,0.504,0.765,1.075,stress_combinado
2025-02-01,PR,153.27,119.0,28.3,0.522,0.671,1.108,stress_combinado
2025-03-01,PR,135.18,118.3,25.8,0.49,0.757,1.179,stress_combinado
2025-04-01,PR,144.92,45.8,18.3,0.762,0.712,1.056,stress_combinado
2025-05-01,PR,125.31,116.3,33.3,0.573,0.778,1.108,stress_combinado
2025-06-01,PR,136.75,74.2,20.8,0.424,0.673,1.238,stress_combinado
2025-07-01,PR,172.28,205.6,24.6,0.168,1.06,0.956,normal
2025-08-01,PR,182.92,195.7,22.0,0.034,1.123,0.919,normal
2025-09-01,PR,167.18,66.3,32.1,0.142,1.08,1.017,normal
2025-10-01,PR,170.37,218.0,23.8,0.132,0.984,0.904,normal
2025-11-01,PR,162.57,138.7,28.7,0.103,0.876,0.974,normal
2025-12-01,PR,181.95,88.4,28.0,0.203,0.883,1.087,normal
2026-01-01,PR,160.98,213.7,21.2,0.19,1.088,1.057,normal
2026-02-01,PR,172.05,116.8,33.7,0.148,1.027,1.098,normal
2026-03-01,PR,184.15,118.4,22.0,0.154,1.121,0.905,normal
2026-04-01,PR,174.69,111.0,20.7,0.195,0.929,1.099,normal
2026-05-01,PR,173.22,114.0,22.4,0.299,1.048,0.967,normal
2026-06-01,PR,151.52,65.0,32.0,0.278,1.022,0.961,normal
2026-07-01,PR,174.51,91.9,25.5,0.117,0.931,0.975,normal
2026-08-01,PR,165.42,118.7,26.2,0.298,1.062,0.926,normal
2026-09-01,PR,160.62,115.4,22.2,0.058,0.875,0.99,normal
2026-10-01,PR,180.1,167.5,30.9,0.274,1.119,0.905,normal
2026-11-01,PR,157.11,80.6,30.2,0.073,0.869,1.014,normal
2026-12-01,PR,175.45,97.9,19.4,0.023,1.071,0.968,normal
2022-01-01,MS,203.82,71.3,27.3,0.29,1.039,0.966,normal
2022-02-01,MS,172.87,166.4,27.8,0.017,1.125,1.085,normal
2022-03-01,MS,183.84,89.7,29.5,0.027,1.056,0.942,normal
2022-04-01,MS,174.88,174.7,24.2,0.188,1.095,1.042,normal
2022-05-01,MS,194.97,139.2,29.3,0.141,1.028,1.072,normal
2022-06-01,MS,204.01,130.8,26.1,0.024,0.929,1.076,normal
2022-07-01,MS,196.09,152.1,21.0,0.037,0.906,1.07,normal
2022-08-01,MS,198.86,181.0,21.6,0.118,0.939,0.982,normal
2022-09-01,MS,180.55,162.5,21.5,0.075,0.922,0.901,normal
2022-10-01,MS,173.71,202.5,28.9,0.084,0.868,0.999,normal
2022-11-01,MS,183.73,204.4,19.0,0.227,1.052,1.08,normal
2022-12-01,MS,179.57,131.3,33.6,0.202,1.081,1.083,normal
2023-01-01,MS,188.92,171.7,27.7,0.288,1.068,0.964,normal
2023-02-01,MS,178.89,117.3,31.0,0.111,0.997,1.009,normal
2023-03-01,MS,193.45,179.2,21.6,0.051,0.973,1.076,normal
2023-04-01,MS,182.73,111.9,30.7,0.284,1.111,0.993,normal
2023-05-01,MS,203.09,84.4,29.8,0.116,1.112,1.058,normal
2023-06-01,MS,181.33,121.0,31.9,0.045,0.98,1.063,normal
2023-07-01,MS,175.79,204.9,20.4,0.284,0.855,0.994,normal
2023-08-01,MS,173.6,103.3,21.2,0.149,1.099,1.071,normal
2023-09-01,MS,186.3,104.4,21.0,0.182,0.981,1.07,normal
2023-10-01,MS,171.65,138.0,28.7,0.106,1.136,1.041,normal
2023-11-01,MS,186.12,157.3,20.3,0.156,0.915,0.998,normal
2023-12-01,MS,179.28,213.1,28.1,0.102,1.036,1.022,normal
2024-01-01,MS,149.11,101.3,26.5,0.515,0.792,1.064,stress_agricola
2024-02-01,MS,171.47,40.8,23.9,0.554,0.792,1.244,stress_agricola
2024-03-01,MS,161.43,132.8,25.6,0.565,0.816,1.196,stress_agricola
2024-04-01,MS,161.97,120.3,27.2,0.623,0.775,1.222,stress_agricola
2024-05-01,MS,149.15,131.6,23.0,0.67,0.671,1.109,stress_agricola
2024-06-01,MS,145.82,132.6,33.2,0.672,0.725,1.079,stress_agricola
2024-07-01,MS,176.03,118.2,30.4,0.142,0.851,0.971,stress_macro
2024-08-01,MS,203.36,159.3,27.0,0.235,0.995,0.963,stress_macro
2024-09-01,MS,174.72,201.3,21.2,0.243,1.127,1.021,stress_macro
2024-10-01,MS,187.21,107.3,19.0,0.265,1.001,0.95,stress_macro
2024-11-01,MS,178.82,120.2,29.2,0.256,0.911,0.959,stress_macro
2024-12-01,MS,181.44,64.6,28.3,0.126,1.083,1.099,stress_macro
2025-01-01,MS,143.66,85.5,24.1,0.438,0.708,1.25,stress_combinado
2025-02-01,MS,147.66,102.1,22.6,0.541,0.641,1.047,stress_combinado
2025-03-01,MS,142.0,53.7,31.3,0.448,0.735,1.109,stress_combinado
2025-04-01,MS,167.89,118.1,28.3,0.542,0.646,1.153,stress_combinado
2025-05-01,MS,137.91,90.7,32.8,0.36,0.674,1.199,stress_combinado
2025-06-01,MS,147.9,76.1,19.3,0.486,0.728,1.049,stress_combinado
2025-07-01,MS,175.43,171.1,26.8,0.027,0.898,1.053,normal
2025-08-01,MS,193.18,199.0,21.6,0.017,0.857,1.029,normal
2025-09-01,MS,195.97,171.6,25.7,0.013,1.135,1.091,normal
2025-10-01,MS,191.34,82.0,23.1,0.116,0.969,1.002,normal
2025-11-01,MS,183.17,106.3,18.4,0.214,0.87,0.94,normal
2025-12-01,MS,180.72,65.8,21.7,0.147,0.874,1.076,normal
2026-01-01,MS,173.38,141.5,31.3,0.119,0.852,1.026,normal
2026-02-01,MS,182.18,159.6,22.3,0.112,1.1,1.051,normal
2026-03-01,MS,182.34,101.0,21.1,0.269,1.045,0.99,normal
2026-04-01,MS,196.4,131.3,33.5,0.202,0.911,0.923,normal
2026-05-01,MS,175.36,122.0,19.7,0.28,1.078,1.047,normal
2026-06-01,MS,189.81,107.8,29.0,0.064,0.941,0.993,normal
2026-07-01,MS,199.14,163.7,21.7,0.267,0.915,0.905,normal
2026-08-01,MS,175.39,62.0,31.3,0.258,1.134,0.978,normal
2026-09-01,MS,173.86,112.4,33.7,0.181,0.998,1.012,normal
2026-10-01,MS,176.96,105.7,33.8,0.257,1.035,1.077,normal
2026-11-01,MS,202.99,196.4,27.9,0.257,1.129,0.961,normal
2026-12-01,MS,169.7,121.0,27.1,0.048,0.915,0.938,normal
2022-01-01,BA,102.64,200.2,19.2,0.125,1.081,1.08,normal
2022-02-01,BA,122.27,108.3,22.2,0.279,1.09,0.941,normal
2022-03-01,BA,102.82,207.1,29.9,0.205,1.129,0.995,normal
2022-04-01,BA,121.87,62.3,19.4,0.07,1.024,1.011,normal
2022-05-01,BA,118.73,103.2,29.2,0.144,0.896,0.913,normal
2022-06-01,BA,120.97,168.5,18.5,0.149,0.974,1.095,normal
2022-07-01,BA,119.59,152.3,18.7,0.019,0.934,0.956,normal
2022-08-01,BA,108.3,136.7,30.8,0.007,1.112,0.947,normal
2022-09-01,BA,121.95,131.7,18.0,0.195,1.101,0.987,normal
2022-10-01,BA,121.38,212.3,25.8,0.069,0.864,0.973,normal
2022-11-01,BA,105.85,155.7,25.3,0.142,1.048,0.974,normal
2022-12-01,BA,110.0,148.2,20.3,0.221,0.902,0.98,normal
2023-01-01,BA,120.61,134.8,23.6,0.088,1.075,0.999,normal
2023-02-01,BA,115.79,146.8,23.8,0.13,1.115,0.967,normal
2023-03-01,BA,121.69,117.4,25.5,0.226,0.899,0.909,normal
2023-04-01,BA,115.72,141.0,31.8,0.188,1.012,1.066,normal
2023-05-01,BA,120.65,85.5,30.8,0.042,0.912,1.039,normal
2023-06-01,BA,113.51,73.1,24.7,0.034,0.863,0.921,normal
2023-07-01,BA,105.87,60.6,33.0,0.199,0.918,1.042,normal
2023-08-01,BA,120.21,113.6,19.9,0.22,1.015,0.979,normal
2023-09-01,BA,119.14,165.1,24.3,0.173,1.056,1.098,normal
2023-10-01,BA,117.88,96.1,28.3,0.047,1.076,1.043,normal
2023-11-01,BA,113.37,202.9,33.5,0.24,1.125,1.039,normal
2023-12-01,BA,106.88,109.0,30.1,0.091,1.041,1.09,normal
2024-01-01,BA,87.37,58.9,18.3,0.402,0.824,1.192,stress_agricola
2024-02-01,BA,81.44,51.4,33.1,0.573,0.772,1.114,stress_agricola
2024-03-01,BA,92.79,103.4,32.7,0.591,0.79,1.26,stress_agricola
2024-04-01,BA,105.16,65.6,25.6,0.657,0.811,1.132,stress_agricola
2024-05-01,BA,87.25,137.7,29.0,0.616,0.854,1.21,stress_agricola
2024-06-01,BA,97.88,48.6,21.9,0.617,0.659,1.122,stress_agricola
2024-07-01,BA,118.11,135.1,23.2,0.166,0.985,1.023,stress_macro
2024-08-01,BA,117.45,75.2,28.9,0.178,0.858,1.001,stress_macro
2024-09-01,BA,114.95,71.1,20.9,0.082,1.09,1.007,stress_macro
2024-10-01,BA,113.85,175.9,22.1,0.035,0.902,0.99,stress_macro
2024-11-01,BA,111.81,196.6,18.6,0.18,1.056,1.094,stress_macro
2024-12-01,BA,110.92,72.3,25.7,0.075,1.073,1.031,stress_macro
2025-01-01,BA,91.88,57.4,24.0,0.489,0.832,1.169,stress_combinado
2025-02-01,BA,79.77,123.1,33.2,0.456,0.667,1.26,stress_combinado
2025-03-01,BA,96.08,90.6,30.7,0.538,0.839,1.12,stress_combinado
2025-04-01,BA,85.11,42.5,25.0,0.644,0.657,1.237,stress_combinado
2025-05-01,BA,82.04,91.7,21.9,0.616,0.643,1.055,stress_combinado
2025-06-01,BA,86.69,107.6,26.7,0.584,0.856,1.186,stress_combinado
2025-07-01,BA,119.07,66.4,21.2,0.09,0.967,0.974,normal
2025-08-01,BA,108.16,141.6,18.2,0.157,1.009,0.961,normal
2025-09-01,BA,113.03,189.8,23.1,0.073,0.914,1.033,normal
2025-10-01,BA,114.68,136.5,21.4,0.052,1.038,1.072,normal
2025-11-01,BA,105.43,71.3,28.7,0.257,1.078,0.996,normal
2025-12-01,BA,116.36,218.4,19.2,0.049,0.974,1.025,normal
2026-01-01,BA,119.2,210.0,31.2,0.122,0.863,0.964,normal
2026-02-01,BA,110.61,123.1,21.1,0.218,0.985,1.067,normal
2026-03-01,BA,123.67,96.0,32.5,0.144,1.003,0.981,normal
2026-04-01,BA,113.96,199.5,28.2,0.072,0.999,0.915,normal
2026-05-01,BA,118.12,156.0,24.7,0.169,1.083,1.055,normal
2026-06-01,BA,116.88,66.4,22.4,0.084,1.146,0.968,normal
2026-07-01,BA,121.54,193.8,27.7,0.276,0.991,0.998,normal
2026-08-01,BA,114.84,181.2,31.4,0.177,1.055,1.02,normal
2026-09-01,BA,117.82,185.7,20.2,0.101,1.143,1.007,normal
2026-10-01,BA,123.33,158.6,19.0,0.189,1.112,1.019,normal
2026-11-01,BA,107.56,96.5,32.8,0.097,0.907,1.094,normal
2026-12-01,BA,108.45,90.7,23.4,0.203,1.029,1.034,normal
2022-01-01,MG,81.2,158.1,30.6,0.241,0.907,1.037,normal
2022-02-01,MG,77.67,174.0,26.8,0.061,1.006,0.923,normal
2022-03-01,MG,79.79,175.6,22.7,0.074,1.04,0.967,normal
2022-04-01,MG,76.56,202.0,31.0,0.112,1.065,1.086,normal
2022-05-01,MG,71.56,133.5,23.5,0.076,0.887,0.975,normal
