producer_id,age,state,municipality,region,farm_size_ha,years_farming,crop_type,annual_revenue,annual_cost,equity,debt
PRD000038,37,MT,Mato Grosso - Municipio 9,Centro-Oeste,81.9,23,cafe,139305.98,123292.75,15408.66,12737.87
PRD000039,41,GO,Goias - Municipio 7,Centro-Oeste,61.9,17,cana-de-acucar,292181.51,222799.1,195686.71,210192.27
PRD000040,71,MT,Mato Grosso - Municipio 20,Centro-Oeste,260.1,25,pecuaria,128607.84,74155.12,268822.3,47682.79
PRD000041,28,PI,Piaui - Municipio 28,Nordeste,60.7,35,algodao,173399.68,126076.53,31302.27,33741.14
PRD000042,68,SP,Sao Paulo - Municipio 38,Sudeste,96.3,34,algodao,427540.0,356085.12,147477.51,87670.68
PRD000043,39,BA,Bahia - Municipio 39,Nordeste,26.1,25,pecuaria,134792.43,89469.14,129769.63,48396.35
PRD000044,27,MS,Mato Grosso do Sul - Municipio 19,Centro-Oeste,65.2,13,milho,187827.94,148705.87,197454.12,205582.53
PRD000045,39,MG,Minas Gerais - Municipio 20,Sudeste,83.7,24,algodao,185636.39,129746.16,220657.65,204895.78
PRD000046,60,PR,Parana - Municipio 19,Sul,26.4,8,soja,263673.08,213182.75,63108.72,63125.12
PRD000047,58,PR,Parana - Municipio 19,Sul,33.4,20,cafe,245675.65,145979.94,359780.43,410473.37
PRD000048,60,SP,Sao Paulo - Municipio 40,Sudeste,48.8,4,milho,194185.24,153456.41,60961.44,34761.28
PRD000049,32,TO,Tocantins - Municipio 16,Norte,7.3,20,milho,107290.86,81902.71,80153.34,70177.07
PRD000050,59,TO,Tocantins - Municipio 13,Norte,45.2,19,cafe,90366.37,58643.39,81027.14,84192.03
PRD000051,66,GO,Goias - Municipio 20,Centro-Oeste,66.4,18,pecuaria,111366.37,90444.55,152285.94,31285.94
PRD000052,36,MG,Minas Gerais - Municipio 37,Sudeste,214.5,32,cana-de-acucar,165058.29,142164.38,300210.7,24716.68
PRD000053,44,MT,Mato Grosso - Municipio 27,Centro-Oeste,115.3,29,algodao,366017.61,276294.02,191748.61,31456.94
PRD000054,27,BA,Bahia - Municipio 21,Nordeste,346.0,22,algodao,161087.07,125954.66,75324.12,7221.43
PRD000055,40,BA,Bahia - Municipio 29,Nordeste,51.3,34,pecuaria,100558.62,77318.83,208566.59,153614.41
PRD000056,40,SP,Sao Paulo - Municipio 33,Sudeste,68.1,11,pecuaria,172385.03,145577.78,169331.5,205876.0
PRD000057,26,MS,Mato Grosso do Sul - Municipio 18,Centro-Oeste,42.4,31,cafe,100126.8,68512.27,432512.96,497025.65
PRD000058,57,BA,Bahia - Municipio 35,Nordeste,213.2,1,cafe,137066.47,103543.88,46854.4,22555.94
PRD000059,53,SP,Sao Paulo - Municipio 3,Sudeste,15.6,27,milho,734397.37,503155.88,466615.78,595412.32
PRD000060,63,TO,Tocantins - Municipio 10,Norte,160.1,7,soja,443678.94,325697.11,107691.27,60573.46
PRD000061,67,SP,Sao Paulo - Municipio 32,Sudeste,98.6,26,cana-de-acucar,669205.86,567700.36,295211.18,131612.95
PRD000062,23,MT,Mato Grosso - Municipio 3,Centro-Oeste,69.2,19,algodao,182052.49,140510.25,334080.65,306519.48
PRD000063,46,MT,Mato Grosso - Municipio 40,Centro-Oeste,32.8,10,pecuaria,117892.65,92973.7,78254.09,63531.74
PRD000064,59,PR,Parana - Municipio 20,Sul,54.1,15,pecuaria,186738.25,119393.78,57479.59,27702.69
PRD000065,66,MG,Minas Gerais - Municipio 19,Sudeste,93.8,20,soja,110522.45,79479.22,57381.52,44098.55
PRD000066,70,MG,Minas Gerais - Municipio 9,Sudeste,24.5,4,pecuaria,305621.8,253872.75,82769.77,30068.89
PRD000067,72,GO,Goias - Municipio 35,Centro-Oeste,317.7,20,algodao,164911.37,143204.04,88710.15,26701.18
PRD000068,29,TO,Tocantins - Municipio 30,Norte,54.8,11,soja,37618.55,27034.45,700594.75,331657.4
PRD000069,65,RS,Rio Grande do Sul - Municipio 17,Sul,90.6,26,cana-de-acucar,92036.81,51068.61,146102.03,130182.09
PRD000070,63,MG,Minas Gerais - Municipio 27,Sudeste,24.8,2,soja,117042.63,90904.47,188503.8,174619.83
PRD000071,31,RS,Rio Grande do Sul - Municipio 27,Sul,22.5,25,pecuaria,167889.41,136007.05,382199.34,373728.38
PRD000072,47,GO,Goias - Municipio 18,Centro-Oeste,208.6,18,milho,81514.89,57483.0,2093174.48,1043117.39
PRD000073,57,GO,Goias - Municipio 14,Centro-Oeste,24.5,2,cana-de-acucar,88454.33,79262.8,218719.07,237807.19
PRD000074,23,PR,Parana - Municipio 9,Sul,102.5,10,soja,468803.92,303337.79,175242.75,32841.88
PRD000075,59,BA,Bahia - Municipio 7,Nordeste,98.3,21,cafe,91668.57,54064.04,44996.74,22613.05
PRD000076,50,TO,Tocantins - Municipio 5,Norte,17.9,34,soja,101935.01,57175.62,118963.28,111885.16
PRD000077,54,BA,Bahia - Municipio 39,Nordeste,65.3,18,cafe,284944.33,227742.75,88789.48,37169.25
PRD000078,42,GO,Goias - Municipio 28,Centro-Oeste,91.0,14,algodao,93863.48,65219.61,281347.93,270661.11
PRD000079,29,MS,Mato Grosso do Sul - Municipio 27,Centro-Oeste,43.4,31,algodao,912063.17,679240.58,174673.31,80709.11
PRD000080,39,MG,Minas Gerais - Municipio 37,Sudeste,31.7,14,milho,89256.97,75560.15,83819.34,16227.98
PRD000081,43,MG,Minas Gerais - Municipio 23,Sudeste,194.9,2,soja,291421.69,231014.32,54744.51,54909.39
PRD000082,58,RS,Rio Grande do Sul - Municipio 39,Sul,203.7,26,soja,210803.42,149412.41,67303.0,30655.08
PRD000083,59,MT,Mato Grosso - Municipio 32,Centro-Oeste,46.9,29,cana-de-acucar,174316.11,127132.44,104925.96,94199.63
PRD000084,67,MS,Mato Grosso do Sul - Municipio 15,Centro-Oeste,17.1,4,cana-de-acucar,132995.57,85041.6,201041.12,105598.72
PRD000085,49,TO,Tocantins - Municipio 7,Norte,71.8,27,milho,129983.42,115447.36,111699.13,56108.24
PRD000086,71,MG,Minas Gerais - Municipio 23,Sudeste,72.8,26,algodao,43751.07,25232.68,196717.42,57516.17
PRD000087,59,RS,Rio Grande do Sul - Municipio 29,Sul,33.9,13,pecuaria,125136.55,102074.3,184902.28,139540.08
PRD000088,50,PI,Piaui - Municipio 3,Nordeste,32.9,31,soja,179953.77,116274.57,38700.94,16951.39
PRD000089,54,BA,Bahia - Municipio 10,Nordeste,78.3,30,soja,1635851.6,1322786.19,150414.2,121272.55
PRD000090,46,SP,Sao Paulo - Municipio 27,Sudeste,23.4,33,algodao,238620.1,190339.52,168874.43,202213.79
PRD000091,44,PI,Piaui - Municipio 20,Nordeste,37.3,25,pecuaria,77787.35,60658.38,77026.65,17468.53
PRD000092,69,MG,Minas Gerais - Municipio 34,Sudeste,7.6,6,soja,137743.24,113924.91,490386.8,532657.51
PRD000093,26,MG,Minas Gerais - Municipio 19,Sudeste,55.3,20,soja,121951.46,107522.64,130045.43,28864.45
PRD000094,68,TO,Tocantins - Municipio 29,Norte,18.6,9,soja,228223.21,139968.4,269759.73,317863.28
PRD000095,72,MG,Minas Gerais - Municipio 31,Sudeste,25.9,29,milho,339888.49,280180.32,82469.39,103663.68
PRD000096,73,BA,Bahia - Municipio 39,Nordeste,103.6,29,milho,186452.05,127468.94,407271.66,436234.4
PRD000097,39,MS,Mato Grosso do Sul - Municipio 29,Centro-Oeste,14.4,24,cana-de-acucar,213840.07,180922.02,261479.9,262498.64
PRD000098,30,RS,Rio Grande do Sul - Municipio 3,Sul,43.9,24,algodao,170319.18,149163.68,503747.7,523507.6
PRD000099,68,SP,Sao Paulo - Municipio 39,Sudeste,77.6,31,cana-de-acucar,186829.41,107936.77,17506.02,12884.52
PRD000100,53,MG,Minas Gerais - Municipio 39,Sudeste,23.5,20,cana-de-acucar,109503.32,84715.39,159507.05,174797.34
PRD000101,55,MT,Mato Grosso - Municipio 35,Centro-Oeste,88.2,10,cana-de-acucar,131705.15,81072.4,216312.48,108319.49
PRD000102,37,TO,Tocantins - Municipio 7,Norte,62.6,31,cana-de-acucar,81304.38,55340.3,225923.28,30375.26
PRD000103,73,BA,Bahia - Municipio 9,Nordeste,22.8,22,soja,313762.81,258132.63,113619.3,95402.7
PRD000104,43,SP,Sao Paulo - Municipio 18,Sudeste,36.1,26,soja,59828.76,36907.54,54411.91,61607.77
PRD000105,55,BA,Bahia - Municipio 18,Nordeste,46.4,29,soja,430476.78,383470.12,131877.64,158963.74
PRD000106,49,MG,Minas Gerais - Municipio 11,Sudeste,10.6,12,pecuaria,215442.73,124531.09,183222.02,147178.04
PRD000107,69,SP,Sao Paulo - Municipio 11,Sudeste,43.0,23,soja,253744.56,196351.16,197927.51,136838.67
PRD000108,45,RS,Rio Grande do Sul - Municipio 24,Sul,290.7,29,cafe,336991.79,230502.06,168332.54,151301.93
PRD000109,71,GO,Goias - Municipio 17,Centro-Oeste,69.6,26,pecuaria,145944.34,129333.25,176607.96,34827.31
PRD000110,73,SP,Sao Paulo - Municipio 21,Sudeste,17.5,32,pecuaria,131059.97,75479.82,27795.69,36039.28
PRD000111,72,BA,Bahia - Municipio 32,Nordeste,112.0,19,soja,443093.4,322600.58,69538.77,15548.6
PRD000112,26,BA,Bahia - Municipio 9,Nordeste,62.3,9,algodao,230295.68,151592.53,155246.96,167538.52
PRD000113,75,GO,Goias - Municipio 8,Centro-Oeste,42.9,23,cana-de-acucar,230834.93,188990.0,47852.92,54325.72
PRD000114,54,RS,Rio Grande do Sul - Municipio 11,Sul,38.1,15,cana-de-acucar,87496.13,64991.64,63712.13,45671.88
PRD000115,71,PI,Piaui - Municipio 37,Nordeste,11.4,22,cafe,510221.59,427990.55,210806.96,182118.76
PRD000116,50,PI,Piaui - Municipio 27,Nordeste,83.7,35,cafe,178999.21,141364.05,98726.62,12330.1
PRD000117,54,SP,Sao Paulo - Municipio 36,Sudeste,17.1,21,soja,376147.23,336955.77,93625.69,93703.52
PRD000118,32,BA,Bahia - Municipio 21,Nordeste,34.7,29,cana-de-acucar,142178.09,92639.58,88134.54,31758.21
PRD000119,37,BA,Bahia - Municipio 14,Nordeste,30.9,33,cana-de-acucar,142978.45,103527.78,52719.16,32766.98
PRD000120,46,BA,Bahia - Municipio 33,Nordeste,20.7,31,cafe,127266.78,87959.03,152220.51,62524.9
PRD000121,24,TO,Tocantins - Municipio 3,Norte,74.9,7,milho,106810.34,71421.92,57446.51,38781.99
PRD000122,69,BA,Bahia - Municipio 20,Nordeste,144.9,10,cana-de-acucar,258687.94,171972.65,160377.66,206609.68
PRD000123,59,BA,Bahia - Municipio 20,Nordeste,55.9,32,pecuaria,284358.72,237585.15,76583.01,97633.58
PRD000124,31,MT,Mato Grosso - Municipio 16,Centro-Oeste,66.9,15,soja,376391.58,229478.13,212281.53,233819.38
PRD000125,68,PI,Piaui - Municipio 4,Nordeste,18.5,10,pecuaria,174330.27,126500.46,178001.43,197665.47
PRD000126,71,RS,Rio Grande do Sul - Municipio 17,Sul,58.3,31,cana-de-acucar,207852.23,126917.45,314901.31,155201.86
PRD000127,72,SP,Sao Paulo - Municipio 18,Sudeste,29.1,20,algodao,141233.77,87924.69,201174.62,97771.66
PRD000128,38,GO,Goias - Municipio 31,Centro-Oeste,70.0,26,milho,332882.67,216596.97,208903.24,125962.42
PRD000129,62,PR,Parana - Municipio 15,Sul,109.4,18,soja,63998.18,48343.63,45681.97,32607.88
PRD000130,63,GO,Goias - Municipio 13,Centro-Oeste,34.0,7,algodao,255829.43,227069.49,773049.26,498326.54
PRD000131,24,BA,Bahia - Municipio 26,Nordeste,38.4,6,cafe,252257.96,203960.72,359935.42,394851.36
PRD000132,38,RS,Rio Grande do Sul - Municipio 12,Sul,62.3,9,soja,439093.98,271133.5,70632.35,44049.38
PRD000133,37,BA,Bahia - Municipio 1,Nordeste,154.3,13,algodao,202823.8,159062.45,80547.56,36609.03
PRD000134,29,MG,Minas Gerais - Municipio 30,Sudeste,10.4,22,algodao,84267.03,46684.15,264742.61,33795.83
PRD000135,52,RS,Rio Grande do Sul - Municipio 10,Sul,40.7,20,cafe,374181.67,328988.93,105523.34,131556.02
PRD000136,72,PI,Piaui - Municipio 6,Nordeste,28.4,31,cana-de-acucar,946750.35,794286.84,410146.59,325971.42
PRD000137,55,SP,Sao Paulo - Municipio 29,Sudeste,58.4,8,soja,62105.24,45145.57,149846.21,68951.29
PRD000138,65,PR,Parana - Municipio 20,Sul,105.1,33,pecuaria,185474.91,110576.53,102112.59,76430.92
PRD000139,68,MT,Mato Grosso - Municipio 27,Centro-Oeste,22.8,14,algodao,219367.3,147104.44,77545.78,78110.67
PRD000140,33,MG,Minas Gerais - Municipio 35,Sudeste,20.9,25,cafe,124158.82,97045.93,155698.45,75468.96
PRD000141,31,TO,Tocantins - Municipio 18,Norte,455.0,20,milho,169709.29,118532.57,107464.97,67249.6
PRD000142,37,GO,Goias - Municipio 3,Centro-Oeste,882.6,2,cafe,142358.82,107890.97,106498.03,121436.03
PRD000143,64,SP,Sao Paulo - Municipio 34,Sudeste,32.3,4,milho,246795.44,202468.11,236241.17,270572.42
PRD000144,48,MG,Minas Gerais - Municipio 27,Sudeste,39.3,12,milho,258886.14,187295.65,399452.19,179121.58
PRD000145,48,MS,Mato Grosso do Sul - Municipio 27,Centro-Oeste,25.1,31,cana-de-acucar,133045.89,113107.56,53692.02,6552.03
PRD000146,25,TO,Tocantins - Municipio 18,Norte,25.9,14,cafe,159319.54,112706.69,91032.46,98930.24
PRD000147,41,PI,Piaui - Municipio 1,Nordeste,192.0,13,milho,482665.16,378895.86,81558.77,96548.54
PRD000148,41,PR,Parana - Municipio 17,Sul,20.0,14,algodao,168857.91,111879.38,76281.32,65670.72
PRD000149,69,TO,Tocantins - Municipio 10,Norte,165.1,31,soja,315587.5,196009.7,101818.83,115066.08
PRD000150,65,MS,Mato Grosso do Sul - Municipio 22,Centro-Oeste,66.5,27,algodao,146388.95,92299.19,151294.66,111701.33
PRD000151,25,SP,Sao Paulo - Municipio 34,Sudeste,53.7,23,soja,48047.73,34638.12,464926.86,396239.42
PRD000152,56,GO,Goias - Municipio 19,Centro-Oeste,109.4,15,soja,106837.91,61021.28,117741.77,112177.4
PRD000153,45,TO,Tocantins - Municipio 26,Norte,240.6,12,cafe,117974.84,86624.16,240493.61,131338.5
PRD000154,25,PI,Piaui - Municipio 1,Nordeste,14.7,20,pecuaria,849788.47,661821.64,54243.91,40188.05
PRD000155,33,RS,Rio Grande do Sul - Municipio 21,Sul,76.3,7,soja,338750.58,218454.58,68898.61,60123.45
PRD000156,56,PR,Parana - Municipio 22,Sul,93.9,26,cafe,414566.06,309840.61,244745.25,219363.63
PRD000157,71,RS,Rio Grande do Sul - Municipio 40,Sul,231.3,6,cana-de-acucar,206298.78,117341.46,78026.13,37120.22
PRD000158,59,MG,Minas Gerais - Municipio 25,Sudeste,159.9,18,soja,369430.78,232685.4,149723.25,42247.75
PRD000159,41,PI,Piaui - Municipio 29,Nordeste,35.9,5,algodao,398052.13,321976.15,100549.0,5680.42
PRD000160,46,MS,Mato Grosso do Sul - Municipio 1,Centro-Oeste,42.9,33,algodao,177476.74,119596.25,33208.99,15127.95
PRD000161,26,MG,Minas Gerais - Municipio 11,Sudeste,45.2,16,cafe,220590.27,150719.67,65562.72,43691.32
PRD000162,47,MS,Mato Grosso do Sul - Municipio 22,Centro-Oeste,43.1,5,cana-de-acucar,336423.45,257644.54,124630.02,7285.77
PRD000163,66,MG,Minas Gerais - Municipio 13,Sudeste,110.0,22,cafe,123974.71,96435.33,160360.9,128932.42
PRD000164,74,BA,Bahia - Municipio 26,Nordeste,23.9,21,algodao,87464.42,63136.42,152888.28,79512.47
PRD000165,26,GO,Goias - Municipio 27,Centro-Oeste,125.7,35,pecuaria,38024.11,21271.47,18589.8,20246.19
PRD000166,66,SP,Sao Paulo - Municipio 27,Sudeste,24.6,17,cana-de-acucar,388129.22,320663.38,127062.99,86817.8
PRD000167,61,MT,Mato Grosso - Municipio 3,Centro-Oeste,110.0,35,cana-de-acucar,741332.84,436110.76,47548.17,12263.77
PRD000168,51,MG,Minas Gerais - Municipio 38,Sudeste,160.5,28,pecuaria,53169.42,39627.05,185467.66,96007.23
PRD000169,50,TO,Tocantins - Municipio 29,Norte,52.6,6,algodao,106368.17,75454.01,61203.81,39488.89
PRD000170,43,GO,Goias - Municipio 36,Centro-Oeste,10.8,8,cafe,83056.3,48860.11,263529.17,194982.03
PRD000171,35,SP,Sao Paulo - Municipio 14,Sudeste,27.2,12,algodao,66239.35,45602.73,118028.81,6557.98
PRD000172,61,GO,Goias - Municipio 26,Centro-Oeste,99.1,35,cana-de-acucar,113807.89,80819.84,148063.5,117890.16
PRD000173,29,GO,Goias - Municipio 16,Centro-Oeste,11.9,12,algodao,716004.25,468342.46,158208.73,34400.07
PRD000174,63,GO,Goias - Municipio 12,Centro-Oeste,11.1,33,cana-de-acucar,142644.8,107152.22,108471.09,78286.2
PRD000175,46,RS,Rio Grande do Sul - Municipio 36,Sul,53.6,21,cana-de-acucar,584820.55,498812.62,443830.85,130446.6
PRD000176,56,SP,Sao Paulo - Municipio 19,Sudeste,41.4,29,milho,195870.03,109844.16,221042.29,86994.76
PRD000177,68,SP,Sao Paulo - Municipio 29,Sudeste,85.3,32,cana-de-acucar,212636.21,125449.48,47569.04,4852.67
PRD000178,61,PR,Parana - Municipio 9,Sul,423.9,20,milho,52690.81,41688.8,475154.43,278064.57
PRD000179,54,PR,Parana - Municipio 7,Sul,163.5,35,milho,112423.64,74568.21,197612.56,75918.56
PRD000180,58,MG,Minas Gerais - Municipio 18,Sudeste,104.5,9,pecuaria,70152.13,58925.59,403677.18,267163.01
PRD000181,59,MG,Minas Gerais - Municipio 1,Sudeste,44.3,6,pecuaria,124706.02,98910.11,344425.29,227339.84
PRD000182,53,GO,Goias - Municipio 22,Centro-Oeste,105.5,23,pecuaria,430214.28,285233.27,69141.99,14744.03
PRD000183,62,MT,Mato Grosso - Municipio 20,Centro-Oeste,4.8,18,pecuaria,92636.69,53622.49,253488.19,29083.74
PRD000184,46,PR,Parana - Municipio 6,Sul,48.4,7,pecuaria,112419.1,88585.57,117847.1,16325.99
PRD000185,63,GO,Goias - Municipio 11,Centro-Oeste,20.7,20,cafe,282294.02,253367.08,46909.95,2842.43
PRD000186,44,BA,Bahia - Municipio 28,Nordeste,137.5,10,algodao,739241.42,521042.75,75853.08,73009.46
PRD000187,64,RS,Rio Grande do Sul - Municipio 20,Sul,18.3,16,milho,233353.35,177968.7,459064.15,509499.29
PRD000188,53,TO,Tocantins - Municipio 39,Norte,66.9,26,soja,153322.86,132512.26,458342.24,87511.09
PRD000189,71,TO,Tocantins - Municipio 5,Norte,39.9,25,soja,542460.87,367731.17,383908.38,477223.54
PRD000190,62,PI,Piaui - Municipio 35,Nordeste,22.1,3,cana-de-acucar,167424.52,133842.54,251693.66,139148.03
PRD000191,29,PI,Piaui - Municipio 30,Nordeste,28.6,5,cana-de-acucar,132553.93,117137.88,82886.54,99943.32
PRD000192,68,PI,Piaui - Municipio 17,Nordeste,73.4,1,milho,458807.4,278652.74,490622.76,504720.25
PRD000193,58,BA,Bahia - Municipio 8,Nordeste,104.7,5,milho,269401.63,196332.81,77456.84,78747.36
PRD000194,68,TO,Tocantins - Municipio 21,Norte,3.9,12,algodao,415706.08,336403.09,113191.15,64555.26
PRD000195,22,GO,Goias - Municipio 24,Centro-Oeste,61.9,4,milho,75526.22,49001.97,269290.6,199642.42
PRD000196,70,MS,Mato Grosso do Sul - Municipio 16,Centro-Oeste,62.9,16,milho,178778.97,129199.31,212142.78,249385.32
PRD000197,53,MT,Mato Grosso - Municipio 4,Centro-Oeste,65.1,1,milho,694572.74,558801.32,41938.88,14582.55
PRD000198,59,MS,Mato Grosso do Sul - Municipio 37,Centro-Oeste,195.8,24,soja,163099.67,122858.04,136016.76,73848.82
PRD000199,39,MG,Minas Gerais - Municipio 15,Sudeste,72.9,19,soja,130743.04,108554.1,377352.23,168892.35
PRD000200,32,PR,Parana - Municipio 20,Sul,48.7,8,pecuaria,673242.02,419209.41,93158.76,18621.69
PRD000201,47,PI,Piaui - Municipio 29,Nordeste,40.7,16,cana-de-acucar,504663.6,286211.24,28723.86,7678.88
PRD000202,27,TO,Tocantins - Municipio 38,Norte,26.6,9,cana-de-acucar,306763.38,189992.84,86255.64,105401.69
PRD000203,47,MS,Mato Grosso do Sul - Municipio 32,Centro-Oeste,178.0,6,soja,160924.62,114473.44,45737.26,49263.91
PRD000204,63,MG,Minas Gerais - Municipio 19,Sudeste,76.9,14,cafe,390931.06,276037.99,38191.36,31363.56
PRD000205,73,MG,Minas Gerais - Municipio 35,Sudeste,169.8,6,soja,146308.57,90683.55,405667.16,340128.78
PRD000206,60,MG,Minas Gerais - Municipio 15,Sudeste,107.7,35,soja,332774.42,248907.91,95264.32,7866.8
PRD000207,33,MS,Mato Grosso do Sul - Municipio 16,Centro-Oeste,66.3,15,cana-de-acucar,256998.18,214773.33,38583.93,42694.13
PRD000208,24,BA,Bahia - Municipio 6,Nordeste,260.8,2,soja,289772.88,216946.57,545755.44,147051.6
PRD000209,55,PR,Parana - Municipio 24,Sul,64.1,31,soja,131622.91,105420.5,560160.51,570219.94
PRD000210,53,BA,Bahia - Municipio 21,Nordeste,139.0,7,milho,148785.39,132649.8,234748.72,199321.03
PRD000211,71,TO,Tocantins - Municipio 37,Norte,96.6,12,soja,114802.64,74975.43,255001.56,283930.52
PRD000212,42,RS,Rio Grande do Sul - Municipio 11,Sul,404.3,15,pecuaria,239710.08,173469.74,103646.6,50114.44
PRD000213,22,GO,Goias - Municipio 4,Centro-Oeste,245.9,22,cafe,182184.8,116113.53,59995.54,11101.77
PRD000214,36,SP,Sao Paulo - Municipio 11,Sudeste,176.1,25,cafe,149342.54,125460.05,340825.86,340077.55
PRD000215,34,GO,Goias - Municipio 27,Centro-Oeste,21.6,25,pecuaria,156669.46,119470.05,121125.82,56186.42
PRD000216,25,TO,Tocantins - Municipio 24,Norte,194.3,17,soja,261578.8,152649.69,96145.21,63810.17
PRD000217,64,MG,Minas Gerais - Municipio 17,Sudeste,79.2,7,soja,151399.89,127981.23,86118.18,56956.07
PRD000218,25,TO,Tocantins - Municipio 10,Norte,41.4,25,pecuaria,149795.36,96191.63,125244.48,48307.11
PRD000219,56,GO,Goias - Municipio 31,Centro-Oeste,20.6,35,cana-de-acucar,130077.13,81900.39,49857.95,35061.5
PRD000220,70,PR,Parana - Municipio 29,Sul,52.5,3,milho,203893.13,169263.44,253128.57,50714.9
PRD000221,57,RS,Rio Grande do Sul - Municipio 26,Sul,20.1,28,cana-de-acucar,69968.3,46312.88,671862.75,106681.26
PRD000222,59,BA,Bahia - Municipio 38,Nordeste,171.8,1,soja,495289.96,362996.38,110364.64,25963.25
PRD000223,47,GO,Goias - Municipio 10,Centro-Oeste,60.8,19,cana-de-acucar,368314.21,286981.48,160745.99,42637.82
PRD000224,53,PI,Piaui - Municipio 7,Nordeste,87.1,26,milho,400236.52,253410.85,248947.04,99686.69
