payment_id,application_id,due_date,payment_date,amount,days_late,default_flag,loss_amount
PAY0000061,APP0000061,2024-06-11,2024-06-11,33333.79,0,0,0.0
PAY0000062,APP0000062,2025-12-30,2026-05-03,35822.85,124,1,15289.44
PAY0000063,APP0000063,2028-10-16,2028-10-16,38556.09,0,0,0.0
PAY0000064,APP0000064,2023-08-30,2023-08-30,41199.8,0,0,0.0
PAY0000065,APP0000065,2027-09-08,2028-10-01,31523.41,389,1,23798.2
PAY0000066,APP0000066,2023-08-02,2023-10-31,28802.39,90,1,6707.37
PAY0000067,APP0000067,2026-10-12,2027-08-17,34997.6,309,1,24476.53
PAY0000068,APP0000068,2028-01-30,2028-01-30,122414.76,0,0,0.0
PAY0000069,APP0000069,2029-05-10,2029-12-29,19842.17,233,1,14071.31
PAY0000070,APP0000070,2027-12-04,2028-02-25,46794.49,83,1,21856.62
PAY0000071,APP0000071,2026-02-11,2026-08-26,23503.18,196,1,11375.09
PAY0000072,APP0000072,2029-02-02,2029-02-02,62001.91,0,0,0.0
PAY0000073,APP0000073,2028-06-30,2029-03-27,71379.04,270,1,16641.13
PAY0000074,APP0000074,2027-08-01,2027-10-19,14496.0,79,1,10904.65
PAY0000075,APP0000075,2028-01-07,2028-01-07,11484.23,0,0,0.0
PAY0000076,APP0000076,2025-10-12,2025-12-18,33591.34,67,1,27908.7
PAY0000077,APP0000077,2025-03-23,2025-03-23,79012.96,0,0,0.0
PAY0000078,APP0000078,2028-02-28,2028-10-30,5000,245,1,2541.5
PAY0000079,APP0000079,2025-08-22,2025-11-07,138067.97,77,1,96232.85
PAY0000080,APP0000080,2025-11-04,2025-11-04,37417.55,0,0,0.0
PAY0000081,APP0000081,2028-01-17,2028-06-13,82554.97,148,1,54791.59
PAY0000082,APP0000082,2025-06-03,2025-06-03,41159.81,0,0,0.0
PAY0000083,APP0000083,2026-03-19,2026-03-19,65715.89,0,0,0.0
PAY0000084,APP0000084,2026-09-26,2026-09-26,53515.57,0,0,0.0
PAY0000085,APP0000085,2027-02-09,2027-04-14,45691.8,64,1,22323.42
PAY0000086,APP0000086,2023-11-05,2023-11-05,39854.62,0,0,0.0
PAY0000087,APP0000087,2029-08-02,2030-01-16,46479.28,167,1,25447.61
PAY0000088,APP0000088,2025-06-24,2025-10-10,51515.6,108,1,43473.34
PAY0000089,APP0000089,2028-05-01,2029-03-28,43511.28,331,1,34044.91
PAY0000090,APP0000090,2029-01-08,2029-01-08,13100.45,0,0,0.0
PAY0000091,APP0000091,2027-12-24,2028-02-15,30771.57,53,1,24522.72
PAY0000092,APP0000092,2025-04-12,2025-04-12,39549.64,0,0,0.0
PAY0000093,APP0000093,2026-09-13,2026-09-13,26435.14,0,0,0.0
PAY0000094,APP0000094,2026-05-27,2026-05-27,42373.84,0,0,0.0
PAY0000095,APP0000095,2029-04-15,2029-04-15,39037.16,0,0,0.0
PAY0000096,APP0000096,2026-01-25,2026-06-20,62027.73,146,1,46261.99
PAY0000097,APP0000097,2027-06-18,2028-07-10,17771.26,388,1,14819.74
PAY0000098,APP0000098,2025-09-12,2026-03-29,66080.7,198,1,27832.22
PAY0000099,APP0000099,2024-06-13,2024-06-13,10400.98,0,0,0.0
PAY0000100,APP0000100,2026-05-27,2026-05-27,34178.63,0,0,0.0
PAY0000101,APP0000101,2024-02-24,2024-10-06,31450.53,225,1,16215.27
PAY0000102,APP0000102,2023-08-14,2023-08-14,52599.33,0,0,0.0
PAY0000103,APP0000103,2024-03-27,2024-03-27,23044.42,0,0,0.0
PAY0000104,APP0000104,2026-05-23,2026-05-23,36184.76,0,0,0.0
PAY0000105,APP0000105,2026-05-07,2026-05-07,97028.52,0,0,0.0
PAY0000106,APP0000106,2029-04-06,2029-09-16,26399.73,163,1,18989.44
PAY0000107,APP0000107,2027-11-24,2028-07-15,30107.06,234,1,18401.6
PAY0000108,APP0000108,2024-04-08,2024-12-14,101904.8,250,1,84256.63
PAY0000109,APP0000109,2026-08-27,2026-11-19,60234.32,84,1,15142.44
PAY0000110,APP0000110,2025-01-20,2025-01-20,49955.69,0,0,0.0
PAY0000111,APP0000111,2025-04-17,2025-04-17,38434.85,0,0,0.0
PAY0000112,APP0000112,2026-01-21,2026-01-21,67616.26,0,0,0.0
PAY0000113,APP0000113,2028-06-20,2028-06-20,25341.24,0,0,0.0
PAY0000114,APP0000114,2023-05-31,2023-05-31,21068.32,0,0,0.0
PAY0000115,APP0000115,2025-04-01,2025-04-01,26473.73,0,0,0.0
PAY0000116,APP0000116,2028-01-27,2028-11-10,48756.93,288,1,20029.07
PAY0000117,APP0000117,2024-11-24,2024-11-24,16901.8,0,0,0.0
PAY0000118,APP0000118,2024-08-02,2024-12-10,49801.71,130,1,14950.8
PAY0000119,APP0000119,2027-12-21,2027-12-21,45159.99,0,0,0.0
PAY0000120,APP0000120,2025-07-07,2025-07-07,24998.99,0,0,0.0
PAY0000121,APP0000121,2023-12-09,2024-12-09,41021.31,366,1,22680.12
PAY0000122,APP0000122,2028-06-18,2028-08-04,121816.01,47,1,54975.38
PAY0000123,APP0000123,2029-05-27,2029-12-13,96146.48,200,1,72210.89
PAY0000124,APP0000124,2025-09-07,2025-09-07,71652.71,0,0,0.0
PAY0000125,APP0000125,2025-06-01,2025-06-01,13075.26,0,0,0.0
PAY0000126,APP0000126,2027-02-02,2027-03-12,39160.3,38,1,24168.23
PAY0000127,APP0000127,2027-02-17,2027-12-02,210721.75,288,1,112339.98
PAY0000128,APP0000128,2025-05-28,2025-05-28,95344.36,0,0,0.0
PAY0000129,APP0000129,2025-09-26,2025-09-26,33299.32,0,0,0.0
PAY0000130,APP0000130,2027-01-26,2027-01-26,5249.38,0,0,0.0
PAY0000131,APP0000131,2026-06-17,2026-11-16,19265.5,152,1,10966.09
PAY0000132,APP0000132,2024-10-26,2024-10-26,56266.84,0,0,0.0
PAY0000133,APP0000133,2025-11-19,2025-11-19,69974.74,0,0,0.0
PAY0000134,APP0000134,2023-07-14,2023-07-14,27541.36,0,0,0.0
PAY0000135,APP0000135,2023-03-06,2023-03-06,23214.87,0,0,0.0
PAY0000136,APP0000136,2024-04-13,2024-04-13,64421.63,0,0,0.0
PAY0000137,APP0000137,2027-04-27,2027-04-27,191591.74,0,0,0.0
PAY0000138,APP0000138,2027-02-28,2027-07-02,47482.47,124,1,9604.77
PAY0000139,APP0000139,2024-05-04,2024-05-04,33102.61,0,0,0.0
PAY0000140,APP0000140,2026-05-04,2027-05-30,25776.4,391,1,19241.32
PAY0000141,APP0000141,2025-03-26,2025-03-26,32612.55,0,0,0.0
PAY0000142,APP0000142,2027-11-21,2027-11-21,46621.96,0,0,0.0
PAY0000143,APP0000143,2027-01-28,2027-01-28,40490.41,0,0,0.0
PAY0000144,APP0000144,2027-12-02,2028-11-11,19069.22,345,1,4714.31
PAY0000145,APP0000145,2025-07-23,2025-09-03,75177.05,42,1,48909.34
PAY0000146,APP0000146,2024-03-10,2024-03-10,26516.71,0,0,0.0
PAY0000147,APP0000147,2027-02-02,2027-09-05,39088.15,215,1,16344.68
PAY0000148,APP0000148,2023-02-26,2023-05-06,32871.39,69,1,8637.67
PAY0000149,APP0000149,2026-10-05,2027-06-16,114581.46,254,1,42747.62
PAY0000150,APP0000150,2024-11-19,2024-11-19,20919.01,0,0,0.0
PAY0000151,APP0000151,2024-12-21,2024-12-21,45725.27,0,0,0.0
PAY0000152,APP0000152,2023-06-30,2023-06-30,63033.7,0,0,0.0
PAY0000153,APP0000153,2023-11-01,2023-11-01,45813.42,0,0,0.0
PAY0000154,APP0000154,2024-07-19,2024-07-19,89335.47,0,0,0.0
PAY0000155,APP0000155,2024-12-26,2024-12-26,11182.71,0,0,0.0
PAY0000156,APP0000156,2024-03-30,2024-03-30,136486.27,0,0,0.0
PAY0000157,APP0000157,2023-02-22,2023-02-22,95838.76,0,0,0.0
PAY0000158,APP0000158,2028-02-29,2028-11-22,5000,267,1,1230.36
PAY0000159,APP0000159,2025-10-27,2026-11-19,84411.12,388,1,32960.27
PAY0000160,APP0000160,2029-07-03,2029-07-03,97567.4,0,0,0.0
PAY0000161,APP0000161,2025-11-26,2025-11-26,18384.38,0,0,0.0
PAY0000162,APP0000162,2027-08-14,2027-08-14,20068.47,0,0,0.0
PAY0000163,APP0000163,2026-05-28,2026-05-28,27667.67,0,0,0.0
PAY0000164,APP0000164,2025-02-21,2025-10-25,67728.04,246,1,36875.26
PAY0000165,APP0000165,2026-03-31,2026-03-31,25641.92,0,0,0.0
PAY0000166,APP0000166,2026-08-21,2026-08-21,119484.04,0,0,0.0
PAY0000167,APP0000167,2026-12-19,2027-08-08,39435.97,232,1,17117.93
PAY0000168,APP0000168,2024-06-20,2024-06-20,12414.79,0,0,0.0
PAY0000169,APP0000169,2025-07-23,2025-07-23,36932.21,0,0,0.0
PAY0000170,APP0000170,2026-12-08,2027-12-23,58315.64,380,1,18377.14
PAY0000171,APP0000171,2023-12-11,2023-12-11,48051.99,0,0,0.0
PAY0000172,APP0000172,2024-05-13,2024-05-13,48467.09,0,0,0.0
PAY0000173,APP0000173,2027-12-15,2028-06-07,71460.74,175,1,16327.84
PAY0000174,APP0000174,2027-09-01,2028-09-28,34721.29,393,1,23716.6
PAY0000175,APP0000175,2026-10-07,2027-04-03,30061.79,178,1,24719.97
PAY0000176,APP0000176,2024-03-13,2024-11-18,67470.56,250,1,15494.25
PAY0000177,APP0000177,2025-12-03,2026-04-26,113314.73,144,1,95616.75
PAY0000178,APP0000178,2028-05-29,2029-06-15,44081.47,382,1,25064.88
PAY0000179,APP0000179,2023-04-26,2023-04-26,13113.04,0,0,0.0
PAY0000180,APP0000180,2027-08-02,2028-05-04,38963.2,276,1,20479.84
PAY0000181,APP0000181,2027-01-02,2027-01-02,71960.27,0,0,0.0
PAY0000182,APP0000182,2027-10-27,2027-12-02,35585.09,36,1,8802.72
PAY0000183,APP0000183,2026-02-06,2027-01-01,27042.6,329,1,6483.37
PAY0000184,APP0000184,2024-01-13,2024-03-19,61002.14,66,1,12804.45
PAY0000185,APP0000185,2026-09-07,2026-09-07,26050.11,0,0,0.0
PAY0000186,APP0000186,2025-05-02,2025-05-02,15457.85,0,0,0.0
PAY0000187,APP0000187,2028-10-05,2028-10-05,84906.6,0,0,0.0
PAY0000188,APP0000188,2024-06-18,2025-02-18,6525.51,245,1,4151.36
PAY0000189,APP0000189,2027-06-16,2028-07-06,33186.65,386,1,19490.34
PAY0000190,APP0000190,2022-07-02,2022-07-02,7959.8,0,0,0.0
PAY0000191,APP0000191,2022-11-15,2022-11-15,5000,0,0,0.0
PAY0000192,APP0000192,2028-02-17,2029-01-04,14116.78,322,1,9701.84
PAY0000193,APP0000193,2025-11-23,2025-11-23,49466.72,0,0,0.0
PAY0000194,APP0000194,2026-04-14,2026-04-14,32067.17,0,0,0.0
PAY0000195,APP0000195,2025-11-02,2025-11-02,106681.24,0,0,0.0
PAY0000196,APP0000196,2028-10-30,2029-08-31,37158.75,305,1,10510.34
PAY0000197,APP0000197,2024-03-28,2024-03-28,47290.08,0,0,0.0
PAY0000198,APP0000198,2028-01-27,2028-01-27,37736.58,0,0,0.0
PAY0000199,APP0000199,2026-04-08,2026-04-08,9179.64,0,0,0.0
PAY0000200,APP0000200,2025-03-14,2025-08-16,63338.25,155,1,28021.16
PAY0000201,APP0000201,2024-07-26,2024-07-26,28653.86,0,0,0.0
PAY0000202,APP0000202,2027-12-25,2027-12-25,61259.05,0,0,0.0
PAY0000203,APP0000203,2025-12-02,2025-12-02,38519.84,0,0,0.0
PAY0000204,APP0000204,2024-10-28,2024-10-28,138700.34,0,0,0.0
PAY0000205,APP0000205,2025-08-17,2025-08-17,39265.92,0,0,0.0
PAY0000206,APP0000206,2023-02-27,2023-10-17,32479.66,232,1,16218.0
PAY0000207,APP0000207,2025-02-18,2025-02-18,19876.3,0,0,0.0
PAY0000208,APP0000208,2025-03-06,2025-03-06,60107.57,0,0,0.0
PAY0000209,APP0000209,2026-10-29,2027-02-22,11411.14,116,1,5646.8
PAY0000210,APP0000210,2024-09-12,2024-09-12,78723.09,0,0,0.0
PAY0000211,APP0000211,2024-09-10,2024-12-01,117314.25,82,1,75253.05
PAY0000212,APP0000212,2027-04-06,2027-04-06,42606.81,0,0,0.0
PAY0000213,APP0000213,2027-02-19,2027-02-19,48262.81,0,0,0.0
PAY0000214,APP0000214,2024-03-22,2024-03-22,19523.49,0,0,0.0
PAY0000215,APP0000215,2027-07-17,2027-07-17,29861.35,0,0,0.0
PAY0000216,APP0000216,2028-01-06,2028-01-06,48145.07,0,0,0.0
PAY0000217,APP0000217,2025-07-21,2026-08-25,22360.9,400,1,15694.17
PAY0000218,APP0000218,2026-07-20,2026-07-20,27392.5,0,0,0.0
PAY0000219,APP0000219,2027-02-28,2027-06-03,20493.01,95,1,5151.97
PAY0000220,APP0000220,2024-02-04,2024-02-04,24728.96,0,0,0.0
PAY0000221,APP0000221,2026-10-27,2026-10-27,15369.09,0,0,0.0
PAY0000222,APP0000222,2024-09-20,2024-12-29,22227.92,100,1,7907.32
PAY0000223,APP0000223,2024-12-20,2024-12-20,22070.21,0,0,0.0
PAY0000224,APP0000224,2027-12-04,2027-12-04,67613.95,0,0,0.0
PAY0000225,APP0000225,2027-02-24,2027-02-24,25583.1,0,0,0.0
PAY0000226,APP0000226,2026-12-19,2026-12-19,76310.83,0,0,0.0
PAY0000227,APP0000227,2022-12-09,2023-07-13,24329.07,216,1,17764.35
PAY0000228,APP0000228,2029-02-06,2029-02-06,94755.69,0,0,0.0
PAY0000229,APP0000229,2023-04-05,2023-04-05,18770.91,0,0,0.0
PAY0000230,APP0000230,2027-06-15,2028-02-05,15624.92,235,1,10051.19
PAY0000231,APP0000231,2023-07-20,2024-03-31,26269.51,255,1,21175.3
PAY0000232,APP0000232,2022-11-05,2022-11-05,22068.55,0,0,0.0
PAY0000233,APP0000233,2027-07-27,2027-09-09,17343.99,44,1,10280.48
PAY0000234,APP0000234,2023-10-07,2024-02-16,78172.16,132,1,34845.57
PAY0000235,APP0000235,2025-12-09,2025-12-09,65890.51,0,0,0.0
PAY0000236,APP0000236,2026-03-19,2026-03-19,313496.72,0,0,0.0
PAY0000237,APP0000237,2027-08-17,2028-01-11,177015.08,147,1,115865.55
PAY0000238,APP0000238,2026-05-29,2026-05-29,43124.59,0,0,0.0
PAY0000239,APP0000239,2028-05-10,2028-05-10,28852.66,0,0,0.0
PAY0000240,APP0000240,2024-06-26,2024-06-26,126233.78,0,0,0.0
PAY0000241,APP0000241,2027-04-10,2027-11-29,36652.62,233,1,9707.62
PAY0000242,APP0000242,2028-07-28,2029-05-07,72218.01,283,1,45717.14
PAY0000243,APP0000243,2028-03-14,2028-09-27,370691.99,197,1,180786.69
PAY0000244,APP0000244,2023-03-25,2023-10-19,7229.94,208,1,4078.69
PAY0000245,APP0000245,2026-09-29,2027-01-31,112700.09,124,1,82686.3
PAY0000246,APP0000246,2026-12-11,2027-05-16,100824.84,156,1,24534.2
PAY0000247,APP0000247,2026-12-14,2027-05-11,13206.27,148,1,9995.85
PAY0000248,APP0000248,2027-04-26,2027-08-24,11120.11,120,1,5124.59
PAY0000249,APP0000249,2024-04-17,2024-04-17,36929.9,0,0,0.0
PAY0000250,APP0000250,2025-02-24,2025-02-24,20378.46,0,0,0.0
PAY0000251,APP0000251,2023-11-19,2024-10-18,51782.96,334,1,43502.75
PAY0000252,APP0000252,2026-10-17,2026-10-17,21113.62,0,0,0.0
PAY0000253,APP0000253,2023-02-02,2023-02-02,19969.39,0,0,0.0
PAY0000254,APP0000254,2024-03-29,2025-03-12,51289.43,348,1,23710.94
PAY0000255,APP0000255,2026-04-01,2026-07-08,34971.79,98,1,16947.4
PAY0000256,APP0000256,2025-08-30,2026-08-28,46495.13,363,1,25760.76
PAY0000257,APP0000257,2024-12-17,2024-12-17,13432.44,0,0,0.0
PAY0000258,APP0000258,2024-02-15,2024-02-15,63070.91,0,0,0.0
PAY0000259,APP0000259,2024-10-14,2024-10-14,35233.15,0,0,0.0
PAY0000260,APP0000260,2024-01-05,2024-01-05,28352.09,0,0,0.0
PAY0000261,APP0000261,2025-02-23,2025-02-23,46359.13,0,0,0.0
PAY0000262,APP0000262,2024-06-10,2024-06-10,22062.51,0,0,0.0
PAY0000263,APP0000263,2026-01-27,2026-01-27,33177.04,0,0,0.0
PAY0000264,APP0000264,2026-10-04,2027-01-25,9679.65,113,1,5264.38
PAY0000265,APP0000265,2025-04-21,2025-04-21,55130.0,0,0,0.0
PAY0000266,APP0000266,2027-05-27,2027-05-27,5491.71,0,0,0.0
PAY0000267,APP0000267,2028-05-20,2029-01-08,59049.19,233,1,33663.98
PAY0000268,APP0000268,2026-05-15,2026-11-07,59573.72,176,1,20682.19
PAY0000269,APP0000269,2027-04-04,2027-04-04,18330.87,0,0,0.0
PAY0000270,APP0000270,2023-09-15,2023-09-15,47891.83,0,0,0.0
PAY0000271,APP0000271,2023-01-20,2023-01-20,24735.04,0,0,0.0
PAY0000272,APP0000272,2025-08-08,2025-08-08,34843.09,0,0,0.0
PAY0000273,APP0000273,2025-01-23,2025-07-27,11816.9,185,1,4499.75
PAY0000274,APP0000274,2029-09-18,2029-09-18,10505.56,0,0,0.0
PAY0000275,APP0000275,2024-07-27,2024-07-27,65902.39,0,0,0.0
PAY0000276,APP0000276,2025-10-29,2025-10-29,49208.37,0,0,0.0
PAY0000277,APP0000277,2026-09-11,2027-05-03,541231.76,234,1,244705.0
PAY0000278,APP0000278,2023-11-20,2023-11-20,15825.05,0,0,0.0
PAY0000279,APP0000279,2024-05-12,2024-06-21,15488.42,40,1,6130.59
PAY0000280,APP0000280,2028-09-04,2028-09-04,30924.97,0,0,0.0
PAY0000281,APP0000281,2023-08-30,2023-08-30,75182.07,0,0,0.0
PAY0000282,APP0000282,2024-08-19,2025-03-01,31024.7,194,1,7383.55
PAY0000283,APP0000283,2026-06-27,2026-10-17,109898.84,112,1,36193.06
PAY0000284,APP0000284,2023-09-26,2024-02-14,37531.2,141,1,12492.91
PAY0000285,APP0000285,2023-10-13,2023-10-13,28994.28,0,0,0.0
PAY0000286,APP0000286,2029-10-03,2029-10-03,23204.89,0,0,0.0
PAY0000287,APP0000287,2023-06-20,2023-06-20,22386.69,0,0,0.0
PAY0000288,APP0000288,2027-07-25,2027-07-25,35518.88,0,0,0.0
PAY0000289,APP0000289,2025-09-02,2025-09-02,40208.6,0,0,0.0
PAY0000290,APP0000290,2025-01-15,2025-01-15,46916.82,0,0,0.0
PAY0000291,APP0000291,2026-03-13,2026-03-13,96597.46,0,0,0.0
PAY0000292,APP0000292,2026-10-04,2026-10-04,77705.22,0,0,0.0
PAY0000293,APP0000293,2023-04-08,2024-03-26,23548.74,353,1,6980.31
PAY0000294,APP0000294,2025-12-19,2025-12-19,11178.22,0,0,0.0
PAY0000295,APP0000295,2025-10-30,2025-10-30,52141.83,0,0,0.0
PAY0000296,APP0000296,2026-12-12,2026-12-12,22140.31,0,0,0.0
PAY0000297,APP0000297,2026-04-12,2026-04-12,52897.97,0,0,0.0
PAY0000298,APP0000298,2027-10-13,2027-10-13,26982.15,0,0,0.0
PAY0000299,APP0000299,2026-05-22,2027-01-06,22128.36,229,1,15190.78
PAY0000300,APP0000300,2024-05-21,2024-12-30,17969.98,223,1,5651.49
PAY0000301,APP0000301,2028-10-06,2028-10-06,9869.55,0,0,0.0
PAY0000302,APP0000302,2027-05-12,2027-05-12,38852.14,0,0,0.0
PAY0000303,APP0000303,2027-10-10,2028-02-03,92342.07,116,1,19088.11
PAY0000304,APP0000304,2027-01-21,2027-01-21,46677.29,0,0,0.0
PAY0000305,APP0000305,2024-07-17,2024-11-06,74336.42,112,1,60655.44
PAY0000306,APP0000306,2026-04-18,2027-03-05,23171.55,321,1,6947.92
PAY0000307,APP0000307,2027-04-21,2028-03-10,13926.94,324,1,9349.61
PAY0000308,APP0000308,2023-05-18,2023-05-18,18567.07,0,0,0.0
PAY0000309,APP0000309,2025-03-12,2025-03-12,18019.83,0,0,0.0
PAY0000310,APP0000310,2027-02-06,2027-04-16,17612.23,69,1,7360.08
PAY0000311,APP0000311,2028-06-14,2028-06-14,38398.26,0,0,0.0
PAY0000312,APP0000312,2026-03-01,2026-03-01,51723.01,0,0,0.0
PAY0000313,APP0000313,2022-11-08,2022-11-08,28301.32,0,0,0.0
PAY0000314,APP0000314,2025-09-24,2026-01-01,54520.15,99,1,40571.8
PAY0000315,APP0000315,2028-09-25,2028-09-25,113066.48,0,0,0.0
PAY0000316,APP0000316,2027-07-20,2027-10-25,5000,97,1,1707.56
PAY0000317,APP0000317,2027-08-31,2028-03-05,11771.68,187,1,7635.29
PAY0000318,APP0000318,2024-07-31,2024-07-31,19556.76,0,0,0.0
PAY0000319,APP0000319,2026-08-12,2026-08-12,89263.78,0,0,0.0
PAY0000320,APP0000320,2027-11-03,2027-11-03,49321.2,0,0,0.0
PAY0000321,APP0000321,2022-08-11,2023-06-14,130466.41,307,1,54643.16
PAY0000322,APP0000322,2024-01-17,2024-01-17,47507.68,0,0,0.0
PAY0000323,APP0000323,2025-12-18,2025-12-18,39617.65,0,0,0.0
PAY0000324,APP0000324,2024-04-22,2024-09-16,31445.0,147,1,9913.09
PAY0000325,APP0000325,2027-02-02,2027-09-29,134241.87,239,1,105391.06
PAY0000326,APP0000326,2027-10-17,2027-10-17,28177.93,0,0,0.0
PAY0000327,APP0000327,2026-01-11,2026-01-11,13926.23,0,0,0.0
PAY0000328,APP0000328,2023-11-09,2024-06-05,106541.93,209,1,83476.93
PAY0000329,APP0000329,2025-01-29,2025-01-29,120345.21,0,0,0.0
PAY0000330,APP0000330,2026-04-01,2026-04-01,120568.28,0,0,0.0
PAY0000331,APP0000331,2023-07-07,2024-03-03,45084.35,240,1,12439.06
PAY0000332,APP0000332,2027-10-12,2027-10-12,54873.12,0,0,0.0
PAY0000333,APP0000333,2026-03-14,2026-10-23,35845.38,223,1,15758.19
PAY0000334,APP0000334,2027-08-06,2027-08-06,29009.23,0,0,0.0
PAY0000335,APP0000335,2026-10-09,2027-03-03,32770.83,145,1,19384.72
PAY0000336,APP0000336,2027-01-01,2027-01-01,80302.91,0,0,0.0
PAY0000337,APP0000337,2026-06-18,2026-06-18,44531.74,0,0,0.0
PAY0000338,APP0000338,2028-04-04,2028-04-04,29038.07,0,0,0.0
PAY0000339,APP0000339,2026-09-05,2026-09-05,60387.81,0,0,0.0
PAY0000340,APP0000340,2023-11-26,2023-11-26,49001.28,0,0,0.0
PAY0000341,APP0000341,2026-11-18,2026-11-18,91804.53,0,0,0.0
PAY0000342,APP0000342,2025-02-13,2025-02-13,81922.54,0,0,0.0
PAY0000343,APP0000343,2026-10-16,2026-10-16,12649.06,0,0,0.0
PAY0000344,APP0000344,2025-06-28,2025-06-28,74139.37,0,0,0.0
